,participant,Scene type,Type,Scene number,SS Latency,BP Latency
764,22,Text,A,5,128961.0,129795.0
765,22,Text,A,8,131355.0,132102.0
766,22,Text,A,3,134055.0,134637.0
767,22,Text,AG,9,136521.0,137277.0
768,23,Video,control,16,50175.0,51369.0
769,23,Video,AG,9,55545.0,0.0
770,23,Video,AG,13,60591.0,62064.0
771,23,Video,AG,2,66180.0,0.0
772,23,Video,AG,4,71691.0,0.0
773,23,Video,AG,14,76704.0,0.0
774,23,Video,G,1,81546.0,0.0
775,23,Video,A,6,86970.0,0.0
776,23,Video,A,5,92055.0,0.0
777,23,Video,AG,7,97281.0,98919.0
778,23,Video,A,3,102984.0,104220.0
779,23,Video,A,8,107901.0,0.0
780,23,Video,G,10,113619.0,0.0
781,23,Video,AG,12,119271.0,120546.0
782,23,Video,A,11,124491.0,0.0
783,23,Video,G,15,129240.0,0.0
784,23,Video,G,10,134541.0,0.0
785,23,Video,AG,2,140034.0,0.0
786,23,Video,A,5,145326.0,0.0
787,23,Video,A,6,150834.0,0.0
788,23,Video,A,3,156174.0,0.0
789,23,Video,AG,9,161400.0,0.0
790,23,Video,AG,4,166566.0,0.0
791,23,Video,AG,14,171624.0,172599.0
792,23,Video,AG,7,176469.0,177756.0
793,23,Video,A,11,181809.0,0.0
794,23,Video,AG,12,187410.0,188991.0
795,23,Video,A,8,193005.0,0.0
796,23,Video,G,1,197829.0,0.0
797,23,Video,AG,13,203286.0,0.0
798,23,Video,control,16,207885.0,0.0
799,23,Video,G,15,213459.0,0.0
800,23,Text,G,10,45984.0,50262.0
801,23,Text,G,15,55314.0,57723.0
802,23,Text,A,11,59994.0,61032.0
803,23,Text,control,16,62757.0,63939.0
804,23,Text,AG,9,65772.0,67752.0
805,23,Text,AG,7,70137.0,70989.0
806,23,Text,AG,12,72897.0,73917.0
807,23,Text,A,8,75348.0,77022.0
808,23,Text,A,5,78708.0,81147.0
809,23,Text,AG,4,83136.0,83922.0
810,23,Text,AG,2,85527.0,86253.0
811,23,Text,AG,13,87693.0,88551.0
812,23,Text,AG,14,90477.0,91473.0
813,23,Text,A,3,93081.0,93726.0
814,23,Text,A,6,95682.0,97707.0
815,23,Text,G,1,99912.0,100701.0
816,23,Text,G,10,102648.0,103566.0
817,23,Text,A,6,105342.0,106881.0
818,23,Text,control,16,108198.0,109188.0
819,23,Text,G,1,112992.0,113418.0
820,23,Text,AG,12,116457.0,117387.0
821,23,Text,AG,4,118872.0,120072.0
822,23,Text,AG,9,121788.0,123321.0
823,23,Text,G,15,125307.0,126411.0
824,23,Text,A,5,128187.0,129036.0
825,23,Text,A,3,130728.0,131466.0
826,23,Text,AG,2,133761.0,134376.0
827,23,Text,A,8,136521.0,137478.0
828,23,Text,A,11,139443.0,140202.0
829,23,Text,AG,13,141921.0,142521.0
830,23,Text,AG,7,144492.0,145422.0
831,23,Text,AG,14,146847.0,147768.0
832,24,Video,AG,12,70569.0,72543.0
833,24,Video,A,5,75927.0,0.0
834,24,Video,A,8,81204.0,0.0
835,24,Video,AG,7,86562.0,0.0
836,24,Video,AG,4,92574.0,0.0
837,24,Video,AG,2,97533.0,98442.0
838,24,Video,AG,14,103239.0,104223.0
839,24,Video,G,10,107949.0,0.0
840,24,Video,A,3,113253.0,114354.0
841,24,Video,control,16,118347.0,0.0
842,24,Video,A,6,123564.0,124848.0
843,24,Video,G,15,128712.0,130428.0
844,24,Video,G,1,134313.0,135768.0
845,24,Video,A,11,139824.0,0.0
846,24,Video,AG,9,144879.0,0.0
847,24,Video,AG,13,149994.0,151077.0
848,24,Video,AG,12,155559.0,0.0
849,24,Video,AG,9,161289.0,161883.0
850,24,Video,A,3,166296.0,167067.0
851,24,Video,G,15,170934.0,0.0
852,24,Video,A,11,176223.0,176844.0
853,24,Video,AG,13,181167.0,0.0
854,24,Video,AG,14,185859.0,0.0
855,24,Video,G,1,190947.0,192369.0
856,24,Video,G,10,196332.0,0.0
857,24,Video,A,6,201516.0,202473.0
858,24,Video,A,5,206922.0,208323.0
859,24,Video,AG,7,212511.0,213933.0
860,24,Video,AG,2,217758.0,218871.0
861,24,Video,AG,4,223071.0,0.0
862,24,Video,control,16,227964.0,229242.0
863,24,Video,A,8,232779.0,233394.0
864,24,Text,AG,4,41181.0,43170.0
865,24,Text,control,16,45630.0,46449.0
866,24,Text,G,10,47925.0,49644.0
867,24,Text,AG,13,51105.0,51663.0
868,24,Text,AG,9,53079.0,53574.0
869,24,Text,AG,7,55029.0,55659.0
870,24,Text,AG,2,57243.0,57618.0
871,24,Text,A,3,59169.0,59583.0
872,24,Text,G,1,61290.0,61956.0
873,24,Text,A,6,63564.0,63948.0
874,24,Text,A,8,65445.0,65838.0
875,24,Text,A,5,67194.0,68028.0
876,24,Text,A,11,69795.0,71904.0
877,24,Text,AG,14,73950.0,74850.0
878,24,Text,AG,12,76770.0,77514.0
879,24,Text,G,15,78894.0,79776.0
880,24,Text,AG,9,81534.0,82035.0
881,24,Text,A,3,83424.0,83850.0
882,24,Text,AG,2,85545.0,85998.0
883,24,Text,G,15,87300.0,88479.0
884,24,Text,AG,12,90069.0,90558.0
885,24,Text,AG,4,92409.0,92994.0
886,24,Text,AG,13,94848.0,95484.0
887,24,Text,AG,7,97224.0,97704.0
888,24,Text,AG,14,99171.0,99699.0
889,24,Text,G,1,101370.0,101889.0
890,24,Text,A,8,103425.0,103929.0
891,24,Text,G,10,105708.0,106365.0
892,24,Text,A,6,107988.0,108720.0
893,24,Text,A,11,110511.0,110973.0
894,24,Text,control,16,112746.0,113226.0
895,24,Text,A,5,114963.0,115359.0
896,25,Video,AG,9,34167.0,35847.0
897,25,Video,control,16,39747.0,41283.0
898,25,Video,G,1,44991.0,0.0
899,25,Video,AG,2,50745.0,52575.0
900,25,Video,A,5,56721.0,58773.0
901,25,Video,A,6,62580.0,64008.0
902,25,Video,G,10,67590.0,69534.0
903,25,Video,AG,13,73011.0,74511.0
904,25,Video,AG,7,78426.0,0.0
905,25,Video,G,15,83841.0,0.0
906,25,Video,AG,4,89352.0,0.0
907,25,Video,A,8,94614.0,96351.0
908,25,Video,A,3,100152.0,0.0
909,25,Video,AG,14,105288.0,106788.0
910,25,Video,A,11,110262.0,111372.0
911,25,Video,AG,12,115404.0,117204.0
912,25,Video,AG,14,120918.0,122406.0
913,25,Video,A,8,125871.0,0.0
914,25,Video,G,1,130710.0,0.0
915,25,Video,A,3,136434.0,0.0
916,25,Video,AG,12,141447.0,143151.0
917,25,Video,AG,13,147459.0,0.0
918,25,Video,AG,2,152727.0,0.0
919,25,Video,AG,9,158025.0,159597.0
920,25,Video,A,5,162879.0,0.0
921,25,Video,control,16,168429.0,169788.0
922,25,Video,G,10,173346.0,0.0
923,25,Video,A,11,178818.0,0.0
924,25,Video,A,6,184179.0,0.0
925,25,Video,AG,4,189645.0,191043.0
926,25,Video,G,15,194916.0,0.0
927,25,Video,AG,7,200295.0,0.0
928,25,Text,G,15,42873.0,45486.0
929,25,Text,AG,9,48831.0,54372.0
930,25,Text,control,16,57525.0,58875.0
931,25,Text,AG,4,61035.0,63957.0
932,25,Text,AG,2,65682.0,66681.0
933,25,Text,AG,14,68382.0,69795.0
934,25,Text,G,1,74667.0,75921.0
935,25,Text,AG,13,77340.0,78051.0
936,25,Text,AG,7,79575.0,80805.0
937,25,Text,A,11,82266.0,83061.0
938,25,Text,A,6,84807.0,86082.0
939,25,Text,A,3,88245.0,88821.0
940,25,Text,A,5,90645.0,91476.0
941,25,Text,AG,12,93396.0,94866.0
942,25,Text,A,8,96825.0,97617.0
943,25,Text,G,10,98982.0,100662.0
944,25,Text,G,15,102750.0,103560.0
945,25,Text,AG,9,105486.0,106491.0
946,25,Text,A,6,108435.0,109872.0
947,25,Text,AG,13,111510.0,112140.0
948,25,Text,G,10,113640.0,114432.0
949,25,Text,AG,4,116385.0,117402.0
950,25,Text,AG,14,119301.0,120501.0
951,25,Text,A,3,121962.0,123072.0
952,25,Text,A,5,124977.0,126120.0
953,25,Text,AG,12,127857.0,128826.0
954,25,Text,A,8,130401.0,131922.0
955,25,Text,G,1,133656.0,134586.0
956,25,Text,AG,7,136686.0,138696.0
957,25,Text,control,16,140526.0,141465.0
958,25,Text,AG,2,143301.0,144786.0
959,25,Text,A,11,146406.0,147126.0
960,26,Video,A,11,52005.0,53787.0
